Label,Type,CLO_id,CL_id,UBERON_id,BTO_id
HS-SY-2Monophasic_synovial_sarcoma,CL,-,CL_0002302,UBERON_0003587,BTO_0006086
22Rv1_delSite4_Clone22/23-F8,CL,CLO_0001200,CL_0002231,UBERON_0002367,BTO_0005049
lymphoma malignant hairy B-cell cell line:MLMA,CL,CLO_0037183,CL_0001200,UBERON_0001744,BTO_0001884
Glioblastoma neurosphere cell_HF-3035,CT,-,CL_0000339,UBERON_0001017,BTO_0006155
lncaparmo-ar-dht1nm,CL,CLO_0007365,CL_0002231,UBERON_0002367,BTO_0005049
Loucy,CL,-,CL_0002420,UBERON_0013756,-
Crypt2,A,-,-,UBERON_0001241,BTO_0000305
TE7_1,CL,CLO_0009319,CL_0002221,UBERON_0001043,BTO_0002605
A-673-clone-Asp114,CL,CLO_0001605,CL_0001064,UBERON_2001165,BTO_0003768
Stromal_heart_2,CT,-,CL_0002548,UBERON_0001133,BTO_0003952
foreskin-keratinocyte-calcium5.5day,CT,-,CLO_0000312,UBERON_0001471,BTO_0000667
small cell gastrointestinal carcinoma cell line:ECC10,CL,-,CL_0001064,UBERON_0005409,-
PAEP_MECOM_pos_placenta,CT,-,CL_2000060,UBERON_0001987,BTO_0001079
H1 hESC-derived neural progenitor cells_Smad_6hr,CL,CLO_0037280,CL_0011020,UBERON_0001017,BTO_0001581
HUCCT1,CL,-,CL_1000488,UBERON_0004823,BTO_0003911
VCaP_prostate_carcinoma_SH3_DHT,CL,CLO_0037117,CL_0002231,UBERON_0002367,BTO_0003215
A-673_clone_Asp114_Ewing_sarcoma,CL,CLO_0034233,CLO_0001064,UBERON_0002481,BTO_0003768
hMSC-TERT,CL,CLO_0037305,CL_0000134,-,BTO_0003298
LNCaP_prostate_carcinoma_ETOH_SHCTR,CL,-,CL_0002231,UBERON_0002367,BTO_0001321
GMP_Frozen_BM1077,CT,-,CL_0010004,UBERON_0002371,BTO_0004850
FLP76_embryonic_kidney,CL,-,CL_1000497,UBERON_0005147,BTO_0002520
HEK293T,CL,CLO_0037372,CL_0002518,UBERON_0005291,BTO_0002181
GM15510,CL,-,CL_0017006,UBERON_0013756,BTO_0002062
Chondrocyte - re diff donor2,CT,-,CL_0000138,UBERON_0002418,BTO_0000249
HeLaS3,CL,CLO_0003699,CL_1001587,UBERON_0000002,BTO_0000568
mesothelioma cell line:NCI-H28,CL,CLO_0008079,CL_1000491,UBERON_0003390,BTO_0006564
H9 derived neuronal progenitor cultured cells,CL,-,CL_0011020,UBERON_0001017,BTO_0001581
HeLa-S3_Cervical_Carcinoma,CL,CLO_0003696,CL_1001587,UBERON_0004801,BTO_0000568
muscle-of-leg,A,-,-,UBERON_0004482,BTO_0000722
iPS DF 19.11 Cells,CL,-,CL_0002248,UBERON_0003585,-
lung right lower lobe adult donor1,A,-,-,UBERON_0002171,BTO_0000763
GBM07,CT,-,CL_0000127,UBERON_0001017,BTO_0000527
A549_ethanol_1h,CL,CLO_0021446,CL_0010003,UBERON_0004821,BTO_0005816
MPAL1_T2_4,CT,-,CL_0000354,UBERON_0012429,BTO_0005579
Myeloid_liver_0,CT,-,CL_0000091,UBERON_0002107,BTO_0000685
BJ/ET,CL,CLO_0000556,CL_1001608,UBERON_0001471,BTO_0003807
750T,CT,-,CL_0001063,-,BTO_0000176
left ventricle_DCM_LV1009,A,-,-,UBERON_0002084,BTO_0001629
CluB_D,CT,-,CL_0002052,-,-
A549 DMSO,CL,-,CL_0010003,UBERON_0004821,BTO_0005816
Astro_Oligodendro_cerebrum_2,CT,-,CL_0000127,UBERON_0035955,BTO_0000099
IMR90_lung_fibroblasts_DMSO,CL,CLO_0006951,CL_0002553,UBERON_0002048,BTO_0001229
HCT116 TP53-/-_Nutlin3A,CL,-,CL_0002253,UBERON_0013067,-
GM18507,CL,-,CL_0001200,UBERON_0034769,BTO_0003335
HUVECs_TNF0min,CL,CLO_0004307,CL_0002618,UBERON_0002066,BTO_0001520
NB69,CL,-,CL_0002676,UBERON_0000013,BTO_0005426
Brain Germinal Matrix,A,-,-,UBERON_0004022,BTO_0004726
