Sample_ID,Label,Type,UBERON_C,UBERON_M,User_Classification
S001,SU-DHL-2,CL,blood,lymph node,No Error
S002,WI-38,CL,lung,lung,No Error
S005,MCF7_Invasive_ductal_breast_carcinoma_TAM,CL,breast,mammary gland,No Error
S006,FL8,CL,lymph node,-,I
S007,LREX,CL,prostate gland,-,I
S009,RWPE1_prostate_epithelial_cells,CL,prostate gland,prostate gland,No Error
S010,RPMI 2650,CL,nasal septum,nasal septum,No Error
S012,Ly4,CL,blood,-,A
S015,Tet21N_neuroblastoma,CL,nervous system,nervous system,No Error
S016,SK-N-BE2,CL,nervous system,adrenal medulla,No Error
S017,ATN-1,CL,blood,-,I
S018,HK-2,CL,proximal tubule,proximal tubule,No Error
S021,Y79,CL,retina,retina,No Error
S024,TSU-1621-MT_adult_acute_myeloid_leukemia_ATRA,CL,blood,hematopoietic tissue,No Error
S025,TGBC2TKB,CL,gallbladder,gallbladder,No Error
S026,Human Podocyte Cell Line AB8/13,CL,glomerular capsule,renal glomerulus,No Error
S029,SUIT2_MTV,CL,exocrine pancreas,exocrine pancreas,No Error
S031,CRC107_colorectal_cancer_metastatic_stem_cells,CL,colon,colorectum,No Error
S033,OCI-AML-3,CL,blood,hematopoietic system,
S034,NT2-D1_embryonic_carcinoma,CL,testis,testis,No Error
S036,KYSE180,CL,esophagus,esophagus,No Error
S037,CyT49_HE,CL,embryo,-,A
S038,glioblastoma cell line:T98G,CL,brain,brain,No Error
S039,D341_6,CL,cerebellum,-,I
S041,WA01_H1_human_embryonic_stem_cells_EMB,CL,embryo,embryo,No Error
S042,BG01V,CL,embryo,inner cell mass,No Error
S044,H1 hESC-derived neural progenitor cells_Smad_72hr,CL,embryo,central nervous system,No Error
S046,OCI-LY3_diffuse_large_B-cell_lymphoma,CL,bone marrow,lymph node,No Error
S047,THP1_DMSO_noPMA,CL,blood,blood,No Error
S048,MIC,CL,bone tissue,-,I
S049,adenocarcinoma cell line:IM95m,CL,stomach,-,A
S050,MT4H1,CL,blood,blood,No Error
S051,GICAN,CL,nervous system,-,I
S053,gm19238,CL,blood,blood,No Error
S055,GM23338,CL,skin epidermis,venous blood,I
S060,HuH-6,CL,liver,liver,No Error
S068,BJ/ET,CL,prepuce of penis,prepuce of penis,No Error
S073,MCF7_Invasive_ductal_breast_carcinoma_DEX,CL,breast,mammary gland,
S078,MDA-MB-157,CL,breast,mammary gland,No Error
S079,TTC549_Doxycycline,CL,liver,-,I
S080,PATU8988S_GFP_DOX,CL,pancreas,pancreas,No Error
S082,MKN28,CL,stomach,stomach,No Error
S083,B-CPAP,CL,thyroid gland,thyroid gland,No Error
S084,TTC-1240_Rhabdoid_tumor_of_the_kidney,CL,kidney,kidney,No Error
S088,DUCaP_prostate_carcinoma,CL,prostate gland,prostate gland,No Error
S091,mdamb175vii,CL,breast,mammary gland,No Error
,,,,,No Error: 35
,,,,,
,,,,,I: 8
,,,,,A: 3
