Sample_ID,Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
S001,SU-DHL-2,CL,-,-,B cell,B cell,blood,lymph node,SU-DHL-2 cell,diffuse large B-cell lymphoma cell line
S002,WI-38,CL,WI-38 cell,immortal human lung-derived fibroblast cell line cell,fibroblast of lung,-,lung,lung,WI-38 cell,lung fibroblast cell line
S003,Schwann_heart,CT,-,-,Schwann cell,Schwann cell,heart,cardiac muscle tissue,Schwann cell,Schwann cell
S004,Tracheal Epithelial Cells donor1,CT,-,-,tracheal epithelial cell,tracheal epithelial cell,trachea,trachea,trachea,trachea
S005,MCF7_Invasive_ductal_breast_carcinoma_TAM,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-7 cell,MCF-7 cell
S006,FL8,CL,-,FL 62891 cell,B cell,flask cell,lymph node,-,FL cell,FL cell
S007,LREX,CL,-,-,epithelial cell of prostate,lymphangioblast,prostate gland,-,-,LX-2 cell
S008,CD8_T_cells,CT,-,-,"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",immune system,T cell domain,cytotoxic T-lymphocyte,cytotoxic T-lymphocyte
S009,RWPE1_prostate_epithelial_cells,CL,RWPE-1 cell,RWPE-1 cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,RWPE-1 cell,RWPE-1 cell
S010,RPMI 2650,CL,RPMI-2650 cell,-,squamous epithelial cell,squamous epithelial cell,nasal septum,nasal septum,RPMI-2650 cell,RPMI-2650 cell
S011,small_intestine_1,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
S012,Ly4,CL,-,LA-4 cell,B cell,-,blood,-,-,EL-4 cell
S013,Arteries_C,A,-,-,-,-,artery,artery,artery,artery
S014,CD4+ cell_UNTREATED,CT,-,-,CD4-positive helper T cell,CD4-positive helper T cell,immune system,venous blood,helper T-lymphocyte,helper T-lymphocyte
S015,Tet21N_neuroblastoma,CL,immortal neuroblast cell line cell,immortal neuroblast cell line cell,neuroblast (sensu Vertebrata),malignant cell,nervous system,nervous system,Tet21N cell,Tet21N cell
S016,SK-N-BE2,CL,SK-N-BE(2) cell,SK-N-BE(2) cell,neuroblast (sensu Vertebrata),neuroblast (sensu Vertebrata),nervous system,adrenal medulla,SK-N-BE(2) cell,neuroblastoma cell line
S017,ATN-1,CL,RCB1440 cell,AT-1 cell,T cell,-,blood,-,-,AT1ABR cell
S018,HK-2,CL,HK-2 cell,HK-2 cell,epithelial cell of proximal tubule,epithelial cell of proximal tubule,proximal tubule,proximal tubule,HK-2 cell,HK-2 cell
S019,naive_B_VB,CT,-,-,naive B cell,naive B cell,blood,-,-,-
S020,Fibroblast - Gingival donor1,CT,-,-,fibroblast,fibroblast,gingiva,gingiva,gingival fibroblast,gingival fibroblast
S021,Y79,CL,Y79 cell,-,retinoblast,retinoblast,retina,retina,Y-79 cell,Y-79 cell
S022,Osteoblast Primary Cells,CT,-,-,osteoblast,osteoblast,bone tissue,bone tissue,osteoblast,osteoblast
