Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
HS-SY-2Monophasic_synovial_sarcoma,CL,CLO_0050072,CLO_0000025,CL_0000214,CL_0000121,UBERON_0003668,UBERON:0001000,BTO_0006086,BTO:0000280
22Rv1_delSite4_Clone22/23-F8,CL,CLO_0001200,-,CL_0002231,CL_0000001,UBERON_0002367,UBERON:0001010,BTO_0002999,BTO_0003804
Glioblastoma neurosphere cell_HF-3035,CT,-,CLO_0000057,CL_0000125,CL:0000002,UBERON_0001017,UBERON_0006122,BTO_0001530,BTO:0000002
lncaparmo-ar-dht1nm,CL,CLO_0007365,CLO_0000001,CL_0002231,CL_0000001,UBERON_0002367,UBERON_0001001,BTO_0001321,BTO:0000123
Loucy,CL,CLO_0007375,CLO_0000001,CL_0000084,CL_0000001,UBERON_0000178,UBERON_0001001,-,BTO_0000123
Crypt2,A,-,CLO_0000001,CL_0011108,CL_0000001,UBERON_0013485,UBERON_0002048,-,obo:BTO_0003694
TE7_1,CL,CLO_0009319,CLO_0000001,CL_0000076,CL_0000001,UBERON_0001043,UBERON_0002106,-,obo:BTO_0001614
A-673-clone-Asp114,CL,CLO_0001605,CLO_0000055,CL_0000187,CL_0000001,UBERON_0005090,UBERON:0000000,BTO_0003768,BTO:0003768
Stromal_heart_2,CT,-,CLO_0000012,CL_0000499,CL_0000163,UBERON_0000948,UBERON_0002045,-,BTO_0000360
foreskin-keratinocyte-calcium5.5day,CT,-,CLO_0000055,CL_1001606,CL_0000112,UBERON_0001332,UBERON_0001000,BTO_0005481,BTO:0000226
small cell gastrointestinal carcinoma cell line:ECC10,CL,CLO_0050796,CLO_0000025,CL_0002178,CL_0000001,UBERON_0000945,UBERON:0000955,-,BTO:0000420
PAEP_MECOM_pos_placenta,CT,-,CLO_0007000,-,CL_0002628,UBERON_0001987,UBERON_0002196,-,BTO:0006428
H1 hESC-derived neural progenitor cells_Smad_6hr,CL,-,CLO_0000040,CL_0011020,CL_0000003,UBERON_0000922,UBERON_0002102,-,BTO:0006029
HUCCT1,CL,CLO_0050009,CLO_0000001,CL_0000068,CL_0000001,UBERON_0002394,UBERON:0001234,BTO_0003911,BTO_0000123
VCaP_prostate_carcinoma_SH3_DHT,CL,CLO_0037117,CLO_0000001,CL_0002231,CL_0000010,UBERON_0002367,UBERON_0002108,BTO_0003215,BTO:0000015
A-673_clone_Asp114_Ewing_sarcoma,CL,CLO_0001605,CLO_0000079,CL_0000187,CL_0000001,UBERON_0005090,UBERON_0000960,BTO_0003768,BTO:0000286
hMSC-TERT,CL,-,CLO_0004029,CL_0000134,CL_0000001,UBERON_0002371,UBERON:0000018,-,BTO:0002429
LNCaP_prostate_carcinoma_ETOH_SHCTR,CL,CLO_0007365,CLO_0000001,CL_0002231,CL_0000000,UBERON_0002367,UBERON_0002040,BTO_0001321,BTO:0000012
GMP_Frozen_BM1077,CT,-,CLO_0000001,CL_0000557,CL_0000001,UBERON_0002371,UBERON:0000010,-,obo:BTO_0004883
FLP76_embryonic_kidney,CL,-,CLO_0000021,CL_1000497,CL:0000123,UBERON_0002113,UBERON_0002110,-,BTO:0000280
HEK293T,CL,CLO_0037372,CLO_0000012,CL_0002518,CL:0000001,UBERON_0002113,UBERON_0001010,BTO_0002181,BTO:0000001
GM15510,CL,CLO_0028068,CLO_0000000,CL_0000236,CL_0000123,UBERON_0000178,UBERON:0002103,-,BTO:0005028
Chondrocyte - re diff donor2,CT,-,CLO_0000021,CL_0000138,CL:0000125,UBERON_0002418,UBERON_0002124,BTO_0000249,BTO:0000422
HeLaS3,CL,CLO_0003696,CLO_0000056,CL_0002535,CL_0000001,UBERON_0000002,UBERON:0000010,BTO_0000568,BTO:0000568
mesothelioma cell line:NCI-H28,CL,CLO_0008079,CLO_0000001,CL_0000082,CL_0000001,UBERON_0002048,-,-,BTO:0000342
H9 derived neuronal progenitor cultured cells,CL,-,CLO_0000073,CL_0011020,CL_0000001,UBERON_0001016,UBERON_0009469,-,BTO_0000336
HeLa-S3_Cervical_Carcinoma,CL,CLO_0003696,CLO_0000024,CL_0002535,CL_0000180,UBERON_0000002,UBERON_0002104,BTO_0000568,BTO:0000102
muscle-of-leg,A,-,CLO_0000001,CL_0000737,CL_0000301,UBERON_0001383,UBERON_0001000,BTO_0000722,BTO:0000244
iPS DF 19.11 Cells,CL,CLO_0037308,CLO_0030604,CL_0002248,CL_0000235,-,UBERON:0006100,-,BTO_0000079
lung right lower lobe adult donor1,A,-,CLO_0000072,CL_0000082,CL_0002099,UBERON_0002171,UBERON_0002042,-,BTO:0000012
GBM07,CT,CLO_0003456,CLO_0000070,CL_0000125,CL:0000001,UBERON_0000955,UBERON_0001015,-,BTO:0003879
A549_ethanol_1h,CL,CLO_0001601,CLO_0000001,CL_0000082,CL_0000001,UBERON_0002048,UBERON_0000061,BTO_0000018,BTO:0000101
MPAL1_T2_4,CT,-,CLO_0000012,CL_0000988,CL_0000001,UBERON_0000178,UBERON:0001234,-,obo:BTO_0001614
Myeloid_liver_0,CT,-,CLO_0000051,CL_0000763,CL_0000239,UBERON_0002107,UBERON_0002103,BTO_0000906,BTO:0000326
BJ/ET,CL,CLO_0001980,CLO_0000012,CL_1001608,CL:0000001,UBERON_0001332,UBERON:0013707,BTO_0003807,BTO_0000012
750T,CT,-,CLO_0000010,CL_1000497,CL:0000001,UBERON_0002113,obo:UBERON_0035350,-,BTO_00000750
left ventricle_DCM_LV1009,A,-,CLO_0000032,CL_0002494,CL_0000120,UBERON_0002084,UBERON:0002040,BTO_0001629,BTO:0005046
CluB_D,CT,-,CLO_0004213,CL_0000158,CL_0000001,UBERON_0002048,UBERON:0008939,-,BTO:0000497
A549 DMSO,CL,CLO_0001601,CLO_0000123,CL_0000082,CL:0000001,UBERON_0002048,UBERON:0002100,BTO_0000018,obo:BTO_0001262
Astro_Oligodendro_cerebrum_2,CT,-,CLO_0000178,CL_0000125,CL_0000123,UBERON_0000955,UBERON_0002385,-,BTO:0003852
IMR90_lung_fibroblasts_DMSO,CL,CLO_0006951,CLO_0000035,CL_0002553,CL_0000005,UBERON_0002048,UBERON_0002042,BTO_0001229,BTO:0000262
HCT116 TP53-/-_Nutlin3A,CL,CLO_0003665,-,CL_0011108,CL_0000001,UBERON_0001155,UBERON:0002031,BTO_0001109,BTO:0003261
GM18507,CL,CLO_0024916,CLO_0000000,CL_0000236,CL_0000001,UBERON_0000178,UBERON_0000014,-,BTO:0001951
HUVECs_TNF0min,CL,CLO_0004307,CLO_0000023,CL_0002618,CL_0000001,UBERON_0002331,UBERON:0002107,BTO_0001949,obo:BTO_0005375
NB69,CL,CLO_0050263,CLO_0000001,CL_0000031,CL:0000001,UBERON_0000955,UBERON_0001017,BTO_0005426,obo:BTO_0001368
Brain Germinal Matrix,A,-,CLO_0000012,CL_0002319,CL_0000066,UBERON_0000955,UBERON:0001202,-,BTO:0000210
Macrophages_GM-CSF_72h,CT,-,CLO_0000026,CL_0000235,CL:0000233,UBERON_0000178,UBERON_0002375,BTO_0000801,BTO:0000010
PATU8988S_GFP_DOX,CL,CLO_0008383,CLO_0000024,CL_0000083,CL:0000000,UBERON_0001264,UBERON_0001000,BTO_0005191,obo:BTO_0005375
paracentral gyrus adult pool1,A,-,CLO_0017085,CL_0002319,CL_0000123,UBERON_0007190,UBERON_0002047,BTO_0005601,BTO:0002495
COLO320-DM_DMSO,CL,CLO_0002571,CLO_0000001,CL_0011108,obo:CL_0008009,UBERON_0001155,UBERON:0002106,BTO_0002047,obo:BTO_0004883
Th2,CT,-,CLO_0000030,CL_0000546,CL_0000000,UBERON_0002405,UBERON_0002389,BTO_0001679,BTO:0000001
Glioblastoma neurosphere cell_HF-3016,CT,-,CLO_0000020,CL_0000125,CL:0000003,UBERON_0001017,UBERON_0002101,BTO_0001530,BTO:0000001
NHEK-Epidermal_Keratinocytes,CT,-,CLO_0000022,CL_0000312,CL:0000010,UBERON_0001003,UBERON_0002048,BTO_0003182,BTO:0000140
Ik6pre-BALL+TET-emptyvector,CT,-,CLO_0000045,CL_0000988,CL:0000000,UBERON_0000178,UBERON:0000000,-,BTO:0006568
gm12891,CL,CLO_0022859,CLO_0000001,CL_0000236,CL_0000001,UBERON_0000178,UBERON_0001000,-,obo:BTO_0001289
293Trex_B4Nflag_7h,CL,CLO_0037238,CLO_000293145,CL_0002518,CL_0000000,UBERON_0002113,UBERON:0000010,BTO_0005238,BTO:0002704
NH-A astrocyte,CT,-,CLO_0000012,CL_0000127,CL:0000123,UBERON_0001017,UBERON_0002402,BTO_0000099,BTO:0000115
PANC1_2,CL,CLO_0008381,CLO_0000001,CL_0000169,CL:0000001,UBERON_0001264,UBERON:0000000,BTO_0000304,BTO:0002771
CHL-1,CL,CLO_0002420,CLO_0002971,CL_2000000,CL_0000001,UBERON_0001003,UBERON:0000014,BTO_0004061,BTO:0004061
Renal Proximal Tubular Epithelial Cell donor2,CT,-,CLO_0000050,CL_0002306,CL_0000015,UBERON_0008404,UBERON_0002114,BTO_0006154,BTO:0002282
cervical-cancer_KDM5C,CT,-,CLO_0000001,CL_0002535,CL_0000066,UBERON_0000002,UBERON:0002047,-,BTO:0000010
hESC-1_Embryonic_stem_cells_WNT3A,CL,CLO_0037281,CLO_0002001,CL_0002322,CL_0000001,UBERON_0000922,UBERON:0001016,BTO_0006080,BTO_0000357
FLP76,CL,-,CLO_0000000,CL_1000497,CL_0000000,UBERON_0002113,UBERON:00077670,-,obo:BTO_0001577
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells,CT,-,CLO_0007000,CL_0002540,CL_0000123,UBERON_0002371,UBERON_0001000,-,BTO:0000284
ILC1,CT,-,CLO_0000012,CL_0001067,CL_0000001,UBERON_0002405,UBERON:0000013,-,BTO_0000140
Naive_Treg,CT,-,CLO_0000123,CL_0002677,CL:0000840,UBERON_0002370,UBERON_0001000,-,BTO:0000123
Lung cancer-derived Cell Lines,CT,-,CLO_0000021,CL_0000082,CL_0000066,UBERON_0002048,UBERON_0002102,BTO_0000762,BTO_0000023
iPS-15b,CL,-,CLO_0000123,CL_0002248,CL_0000001,-,UBERON:0006000,-,obo:BTO_0001614
"CD8-positive, alpha-beta T cell",CT,-,CLO_0000067,CL_0000625,CL:0000862,UBERON_0002405,UBERON_0006315,BTO_0000289,BTO:0000245
MPNST007_PRC2 WT,CT,-,CLO_0000001,-,CL_0000001,UBERON_0001021,UBERON:0001002,BTO_0005316,BTO:0005046
Excitatory_neur_cerebrum_6,CT,-,CLO_0009004,CL_0000540,CL_0000001,UBERON_0000955,UBERON_0002046,-,BTO_0000123
V457,-,-,CLO_0000000,CL_0011108,CL:0000001,UBERON_0001155,UBERON_000457,-,BTO_0000000
Club-A,CT,-,CLO_0000374,CL_0000158,CL_0000001,UBERON_0002048,UBERON_0001970,-,BTO:0000467
MKN28,CL,CLO_0037142,CLO_0001759,CL_0002178,CL_0000001,UBERON_0000945,UBERON:0000010,BTO_0002381,BTO:0002382
MCF10A_low,CL,CLO_0007599,CLO_0000012,CL_0002327,CL:0000001,UBERON_0000310,UBERON:0002100,BTO_0001939,BTO:0001939
fibroblast_of_pulmonary_artery,CT,-,CLO_0000103,CL_0002557,CL:0000115,UBERON_0002012,UBERON_0002042,-,BTO:0000033
GMP_BM1214,CT,-,CLO_0000123,CL_0000557,CL_0000001,UBERON_0002371,UBERON:0001234,-,BTO:0000123
body-of-pancreas,A,-,CLO_0000060,CL_0000083,CL_0000240,UBERON_0001150,UBERON_0002047,-,BTO:0000247
Glioblastoma Cell Lines,CT,-,obo:CLO_0037275,CL_0000125,CL_0000123,UBERON_0001017,UBERON_0002952,BTO_0001530,BTO:0000421
RPMI-8402_T_acute_lymphoblastic_leukemia,CL,CLO_0009857,CLO_0000050,CL_0000084,CL_0000001,UBERON_0000178,UBERON:0002350,BTO_0001880,BTO:0000303
Kelly_shB4_Res,CL,CLO_0007091,CLO_0000001,CL_0000031,CL:0000001,UBERON_0000955,UBERON_0001000,BTO_0006213,BTO_0000524
CD4_TH1_DMSO,CT,-,CLO_0000001,CL_0000545,CL_0000232,UBERON_0002405,UBERON:0001000,BTO_0001678,obo:BTO_0004883
LS174T_colon_adenocarcinoma_BI8622,CL,CLO_0007403,CLO_0000001,CL_0011108,CL_0000132,UBERON_0001155,UBERON:0001001,BTO_0001553,BTO:0000438
ME-1_DMSO_6h,CL,CLO_0009847,CLO_0000001,CL_0000763,CL:0000001,UBERON_0000178,UBERON_0000468,-,obo:BTO_0001494
Esophagus,A,-,CLO_0000001,CL_0002252,CL_0000066,UBERON_0001043,UBERON_0002044,BTO_0000959,BTO_0000075
Fetal intestine large,A,-,CLO_0000070,CL_0002253,CL_0000123,UBERON_0000059,UBERON_0002046,BTO_0000706,BTO_0000123
HSMM Skeletal Muscle Myoblasts Cells,CL,CLO_0000809,CLO_0000061,CL_0000056,CL_0000001,UBERON_0005090,UBERON_0006128,-,BTO:0000001
GM18486,CL,CLO_0024943,CLO_0000000,CL_0000236,CL_0000000,UBERON_0000178,UBERON:0002361,-,BTO:0001951
GLC16,CL,-,CLO_0000001,CL_0000082,CL_0000001,UBERON_0002048,UBERON:0000016,-,BTO_0000000
Fibroblast - skin spinal muscular atrophy donor2,CT,-,CLO_0000043,CL_0002620,CL_0000235,UBERON_0001003,UBERON_0002365,BTO_0001255,BTO:0000363
Neural Crest Cells,CT,-,CLO_0000027,CL_0011012,CL:0000576,UBERON_0002342,UBERON_0001002,BTO_0003825,BTO:0000234
hESC,CL,CLO_0037280,CLO_0000001,CL_0002322,CL_0000001,UBERON_0000922,UBERON:0001016,BTO_0001086,BTO_0000349
CLB-BER-Lud,CL,-,CLO_0000000,CL_0000031,CL:0000001,UBERON_0001016,UBERON_0000955,-,BTO:0000326
Endothelial Cells - Lymphatic donor1,CT,-,CLO_0000031,CL_0002138,CL_0000253,UBERON_0001473,UBERON:0000470,BTO_0004167,BTO:0000350
Stromal_placenta_4,CT,-,CLO_0000123,CL_0000499,CL_0000057,UBERON_0001987,UBERON_0000955,-,BTO:0006428
NUT,CL,-,CLO_0000123,CL_0000015,CL_0000010,UBERON_0000473,UBERON_0000244,-,BTO_0000251
Syn_vil_cytoTrophobs_placenta_1,CT,-,CLO_0000062,CL_0000034,CL:0000001,UBERON_0001987,UBERON_0001005,-,BTO:0000012
GM18526,CL,CLO_0024847,CLO_0000123,CL_0000236,CL_0000001,UBERON_0000178,UBERON_0000955,-,BTO:0006246
IMR90_#2,CL,CLO_0006951,CLO_0000001,CL_0002553,CL_0000001,UBERON_0002048,UBERON_0000070,BTO_0001229,BTO_0001416
HFF-Myc,CL,-,CLO_0000001,CL_1001608,CL_0000001,UBERON_0001332,UBERON:0005035,-,BTO_0000074
Fibrob_BCC,CT,-,CLO_0000012,CL_0000057,CL_0000123,UBERON_0002384,UBERON:0001005,BTO_0000452,BTO:0001622
BT-474_breast_invasive_ductal_carcinoma_EGF,CL,CLO_0002042,CLO_0000001,CL_0002327,CL_4006001,UBERON_0000310,UBERON_0002047,BTO_0001932,BTO:0000457
induced pluripotent stem cell derived Neuronal progenitor cell,CT,-,CLO_0000050,CL_0011020,CL_0000280,UBERON_0001016,UBERON_0005118,-,BTO:0000001
HUVEC umbilical vein endothelial,CL,CLO_0004307,CLO_0000073,CL_0002618,CL_0000453,UBERON_0002331,UBERON_0001124,BTO_0001949,BTO:0000123
SK-MEL-239,CL,-,CLO_0000001,CL_0000148,CL_0000001,-,UBERON:0002048,-,BTO_0001614
MCF10CA1a,CL,CLO_0007599,CLO_0000100,CL_0002327,CL_0000001,UBERON_0000310,UBERON_0002113,-,BTO:0006398
ovary adult pool1,A,-,CLO_0000050,-,CL_0000066,UBERON_0000992,UBERON_0001000,BTO_0000975,BTO:0000035
LY4,CL,-,CLO_0000054,CL_0000236,CL_0000001,UBERON_0000178,UBERON_0000010,-,BTO:0000772
Endothelial Cells - Aortic donor3,CT,-,CLO_0000057,CL_0002544,CL:0000125,UBERON_0000947,UBERON_0002106,BTO_0003245,BTO:0000123
Th17-IL-10- Day 5,CT,-,CLO_0000001,CL_0000899,CL_0000001,UBERON_0002405,UBERON:0001016,BTO_0005655,BTO:0005317
adult CD4+CD25hiCD127lo regulatory T cells,CT,-,CLO_0000052,CL_0000815,CL:0000094,UBERON_0002405,UBERON_0001001,-,BTO_0000123
MALME-3,CL,CLO_0007528,CLO_0000012,CL_0002620,CL_0000000,UBERON_0001003,UBERON:0000034,BTO_0004161,BTO_0003692
HUES48 Cells,CL,-,-,CL_0002322,CL_0000002,UBERON_0000922,-,-,BTO_0000359
GM12873_female_B-cells,CL,CLO_0022835,CLO_0030515,CL_0000236,CL:0000239,UBERON_0000178,UBERON_0006122,-,BTO:0005014
Brain_Substantia_Nigra,A,-,CLO_0000345,CL_0002614,CL_0000120,UBERON_0002038,UBERON_0002014,BTO_0000143,BTO:0000144
Capan1-untreated,CL,CLO_0002197,CLO_0000012,CL_0002079,CL_0000001,UBERON_0000017,UBERON_0001001,BTO_0002744,BTO:0002296
H1 hESC-derived neural progenitor cells_Smad_72hr,CL,-,CLO_0000057,CL_0011020,CL_0000125,UBERON_0000922,UBERON_0000066,-,BTO:0000702
