Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
Crypt2,A,-,-,colon epithelial cell,-,crypt of Lieberkuhn of colon,crypt of Lieberkuhn of small intestine,crypt,crypt
muscle-of-leg,A,-,-,striated muscle cell,-,muscle of leg,musculature of lower limb,leg muscle,leg muscle
lung right lower lobe adult donor1,A,-,-,epithelial cell of lung,-,lower lobe of right lung,lower lobe of right lung,lung,lung
left ventricle_DCM_LV1009,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
Brain Germinal Matrix,A,-,-,neural cell,-,brain,germinal neuroepithelium,embryonic brain,embryonic brain
paracentral gyrus adult pool1,A,-,-,neural cell,-,paracentral gyrus,paracentral gyrus,paracentral lobule,paracentral lobule
body-of-pancreas,A,-,-,epithelial cell of pancreas,-,body of pancreas,body of pancreas,pancreas,pancreas
Esophagus,A,-,-,epithelial cell of esophagus,-,esophagus,esophagus,esophagus,esophagus
Fetal intestine large,A,-,-,epithelial cell of large intestine,-,large intestine,large intestine,large intestine,large intestine
ovary adult pool1,A,-,-,-,-,ovary,ovary,ovary,ovary
Brain_Substantia_Nigra,A,-,-,neuron of the substantia nigra,-,substantia nigra,substantia nigra pars reticulata,substantia nigra,substantia nigra
Whole blood (ribopure) donor090612 donation2,A,-,-,hematopoietic cell,-,blood,blood,peripheral blood,peripheral blood
retina,A,-,-,retinal cell,-,retina,retina,retina,neural retina
Brain_Putamen_basal_ganglia,A,-,-,neural cell,-,basal ganglion,basal ganglion,caudate putamen,caudate putamen
muscle_of_leg,A,-,-,striated muscle cell,-,muscle of leg,muscle of leg,leg muscle,leg muscle
Fetal_Kidney,A,-,-,kidney cell,-,kidney,metanephric renal vesicle,kidney,kidney
hippocampus - adult donor10196,A,-,-,neural cell,-,brain,hippocampal formation,hippocampus,hippocampus
colon fetal donor1,A,-,-,colon epithelial cell,-,colon,large intestine,colon,large intestine
Arteries_C,A,-,-,-,-,artery,artery,artery,artery
left ventricle 3y,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
spleen,A,-,-,-,-,spleen,spleen,spleen,spleen
Caudate_nucleus,A,-,-,neural cell,-,caudate nucleus,caudate nucleus,caudate nucleus,caudate nucleus
Esophagus Squamous Epithelium,A,-,-,squamous epithelial cell,-,esophagus squamous epithelium,esophagus squamous epithelium,esophageal squamous epithelium,esophageal squamous epithelium
Fetal_Muscle_Trunk,A,-,-,muscle cell,-,skeletal muscle of trunk,skeletal muscle of trunk,skeletal muscle,skeletal muscle
Skin_Sun_Exposed_Lower_leg,A,-,-,epithelial cell,-,skin epidermis,lower leg skin,-,lower epidermis
epididymis adult,A,-,-,duct epithelial cell,-,epididymis,epididymis,epididymis,epididymis
left ventricle_DCM_LV1433,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
Fetal liver,A,-,-,hepatocyte,-,liver,liver,liver,liver
retina adult pool1,A,-,-,retinal cell,-,retina,retina,retina,retina
Fetal Brain Male,A,-,-,neural cell,-,brain,brain,brain,brain
VentricleRight,A,-,-,cardiocyte,-,heart right ventricle,heart right ventricle,right ventricle,right ventricle
Kidney_cortex,A,-,-,kidney cell,-,cortex of kidney,cortex of kidney,renal cortex,renal cortex
Hilar lymph node,A,-,-,-,-,lymph node,lymph node,lymph node,lymph node
liver,A,-,-,hepatocyte,-,liver,liver,liver,liver
spleen adult pool1,A,-,-,-,-,spleen,spleen,spleen,spleen
Vagina,A,-,-,vagina squamous cell,-,vagina,vagina,vaginal mucosa,vaginal mucosa
gastrocnemius medialis_54y,A,-,-,muscle cell,-,gastrocnemius medialis,gastrocnemius medialis,gastrocnemius,head muscle
Rectal Mucosa Donor 31,A,-,-,epithelial cell of large intestine,-,mucosa of rectum,mucosa of rectum,colorectal mucosa,colorectal mucosa
coronary_artery,A,-,-,-,-,coronary artery,coronary artery,coronary artery,coronary artery
Fetal Intestine,A,-,-,intestinal epithelial cell,-,intestine,intestine,intestine,intestine
Intestine_Unknown.8_intestine,A,-,-,intestinal epithelial cell,-,intestine,intestine,intestine,intestine
Fetal Stomach,A,-,-,-,-,stomach,stomach,stomach,stomach
pancreatic-islets-F,A,-,-,pancreatic endocrine cell,-,islet of Langerhans,islet of Langerhans,pancreatic islet,pancreatic islet
duodenum fetal donor1 tech_rep2,A,-,-,epithelial cell of small intestine,-,duodenum,duodenum,duodenum,duodenum
Fetal_heart,A,-,-,cardiocyte,-,heart,embryonic cardiovascular system,heart,heart
BA40_brodmann_area_40,A,-,-,neural cell,-,Brodmann (1909) area 40,-,cerebral gyrus,cerebral gyrus
Colon smooth muscle,A,-,-,smooth muscle cell of colon,-,large intestine smooth muscle,large intestine smooth muscle,colon muscle,colon muscle
UCSD_Right_Atrium,A,-,-,cardiocyte,-,right cardiac atrium,right cardiac atrium,right atrium,right atrium
thymus,A,-,-,epithelial cell of thymus,-,thymus,thymus,thymus,thymus
parietal lobe fetal donor1,A,-,-,neural cell,-,parietal lobe,parietal lobe,parietal lobe,parietal lobe
heart adult diseased post-infarction donor1,A,-,-,cardiocyte,-,heart,myocardium,myocardium,myocardium
left ventricle_LV1558,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
kidney-cortex,A,-,-,kidney cell,-,cortex of kidney,cortex of kidney,renal cortex,renal cortex
left_ventricle,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
Lateral temporal lobe_6T_AD,A,-,-,neural cell,-,temporal lobe,temporal lobe,temporal lobe,temporal lobe
Whole blood (ribopure) donor090612 donation1,A,-,-,hematopoietic cell,-,blood,blood,blood,blood
testis adult pool2,A,-,-,-,-,testis,testis,testis,testis
Pancreas_Unknown.1_pancreas,A,-,-,-,-,pancreas,pancreas,pancreas,pancreas
embryonic heart_CS22,A,-,-,-,-,heart,embryonic cardiovascular system,heart,heart
psoas muscle,A,-,-,striated muscle cell,-,psoas muscle,psoas muscle,psoas,iliopsoas muscle
Placenta_Amnion,A,-,-,-,-,placenta,placenta,-,amnion epithelial cell
BA40,A,-,-,neural cell,-,Brodmann (1909) area 40,-,cerebral gyrus,cerebral gyrus
Stomach Smooth Muscle,A,-,-,smooth muscle cell,-,stomach smooth muscle,stomach smooth muscle,stomach smooth muscle,stomach smooth muscle
caudate nucleus - adult donor10196,A,-,-,neural cell,-,caudate nucleus,caudate nucleus,caudate nucleus,caudate nucleus
adrenal gland 54y,A,-,-,glandular secretory epithelial cell,-,adrenal gland,adrenal gland,adrenal gland,adrenal gland
left ventricle_DCM_LV1262,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
Uterus,A,-,-,epithelial cell of uterus,-,uterus,uterus,uterus,uterus
left ventricle_LV1215,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
submaxillary gland adult,A,-,-,secretory cell,-,submandibular gland,submandibular gland,submandibular gland,submandibular gland
medulla oblongata adult pool1,A,-,-,neural cell,-,medulla oblongata,medulla oblongata,medulla oblongata,medulla oblongata
left ventricle_DCM_LV1072,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
blood vessels,A,-,-,endothelial cell,-,blood vessel,blood vessel,blood vessel,blood vessel
hN34_organoid,A,-,-,epithelial cell of pancreas,-,pancreas,neural tissue,cerebral organ,cerebral organ
small_intestine_1,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
Rectal_Mucosa.Donor_31,A,-,-,epithelial cell of large intestine,-,mucosa of rectum,mucosa of rectum,colorectal mucosa,colorectal mucosa
spinal cord - adult donor10196,A,-,-,neural cell,-,spinal cord,spinal cord,spinal cord,spinal cord
Fetal intestine small,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
Brain_Germinal_Matrix,A,-,-,neural cell,-,brain,germinal neuroepithelium,embryonic brain,embryonic brain
nucleus accumbens adult pool1,A,-,-,neuron,-,nucleus accumbens,nucleus accumbens,nucleus accumbens,nucleus accumbens
fetal-kidney-16w,A,-,-,kidney cell,-,kidney,metanephric renal pelvis,kidney,kidney
left ventricle_LV1294,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
breast_epithelium,A,-,-,mammary gland epithelial cell,-,breast epithelium,breast epithelium,breast epithelium,breast epithelium
locus coeruleus - adult donor10196,A,-,-,-,-,locus ceruleus,brainstem nucleus,locus ceruleus,locus ceruleus
body_of_pancreas,A,-,-,epithelial cell of pancreas,-,body of pancreas,body of pancreas,pancreas,pancreas
Crypt5,A,-,-,colon epithelial cell,-,crypt of Lieberkuhn of colon,crypt of Lieberkuhn of small intestine,crypt,crypt
Brain Anterior Caudate,A,-,-,neural cell,-,caudate nucleus,matrix part of head of caudate nucleus,caudate nucleus,caudate nucleus
cartilage,A,-,-,chondrocyte,-,cartilage tissue,cartilage tissue,cartilage,cartilage
pancreas 30y,A,-,-,-,-,pancreas,pancreas,pancreas,pancreas
Fetal_spinal_cord,A,-,-,-,-,spinal cord,spinal cord,spinal cord,spinal cord
left ventricle_DCM_LV1300,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
pleural-effusion,A,-,-,-,-,pleural effusion,pleural effusion,pleural fluid,pleural fluid
Fetal_intestine,A,-,-,intestinal epithelial cell,-,intestine,small intestine,intestine,intestine
esophagus-muscularis-mucosa,A,-,-,smooth muscle cell of the esophagus,-,esophagus muscularis mucosa,lower esophagus muscularis mucosa,muscularis mucosa,muscularis mucosa
Brain,A,-,-,neural cell,-,brain,brain,brain,brain
Fetal_small_intestine,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
Fetal Muscle Trunk,A,-,-,muscle cell,-,skeletal muscle of trunk,skeletal muscle of trunk,skeletal muscle,skeletal muscle
UCSD_Aorta,A,-,-,-,-,aorta,aorta,aorta,aorta
Lateral temporal lobe_15T_Young,A,-,-,neural cell,-,temporal lobe,temporal lobe,temporal lobe,temporal lobe
Stomach_Mucosa,A,-,-,mucous cell of stomach,-,mucosa of stomach,mucosa of stomach,gastric mucosa,gastric mucosa
aorta adult pool1,A,-,-,-,-,aorta,aorta,aorta,aorta
BA10,A,-,-,neural cell,-,brain,frontal lobe,prefrontal cortex,prefrontal cortex
Kidney_Unknown.14_kidney,A,-,-,kidney cell,-,kidney,kidney,kidney,kidney
Fetal_Spinal_Cord,A,-,-,-,-,spinal cord,spinal cord,spinal cord,spinal cord
parietal lobe adult donor10252,A,-,-,neural cell,-,parietal lobe,parietal lobe,parietal lobe,parietal lobe
Brain Hippocampus Middle 150,A,-,-,neural cell,-,hippocampal formation,hippocampal formation,hippocampus,hippocampus
Crypt3,A,-,-,colon epithelial cell,-,crypt of Lieberkuhn of colon,crypt of Lieberkuhn of small intestine,crypt,crypt
Left_Ventricle,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
thymus_2,A,-,-,epithelial cell of thymus,-,thymus,thymus,thymus,thymus
Duodenum_Smooth_Muscle,A,-,-,smooth muscle fiber of duodenum,-,muscle layer of duodenum,muscle layer of duodenum,duodenum,duodenum
Testis,A,-,-,-,-,testis,testis sex cord,testis,male reproductive gland
somite,A,-,-,-,-,somite,entire embryonic mesenchyme,somite,embryonic structure
Circle of Willis_60y,A,-,-,-,-,circle of Willis,cerebral artery,cerebral artery,cerebral artery
subcutaneous_adipose_tissue,A,-,-,adipocyte,-,subcutaneous adipose tissue,subcutaneous adipose tissue,subcutaneous adipose tissue,subcutaneous adipose tissue
Adrenal Gland,A,-,-,glandular secretory epithelial cell,-,adrenal gland,adrenal gland,adrenal gland,adrenal gland
Duodenum Mucosa,A,-,-,duodenum secretory cell,-,duodenal mucosa,duodenal mucosa,duodenal mucosa,duodenal mucosa
Transverse Colon,A,-,-,-,-,transverse colon,transverse colon,colon transversum,large intestine
brain adult pool1,A,-,-,neural cell,-,brain,brain,brain,brain
kidney fetal pool1,A,-,-,kidney cell,-,kidney,kidney rudiment,kidney,kidney
germinal matrix,A,-,-,neural cell,-,brain,lateral ventricle subependymal layer,ventricular zone,ventricular zone
heart_left_ventricle,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
leg_muscle,A,-,-,striated muscle cell,-,muscle of leg,muscle of leg,leg muscle,leg muscle
Thymus,A,-,-,epithelial cell of thymus,-,thymus,thymus,thymus,thymus
Esophagus_Mucosa,A,-,-,epithelial cell of esophagus,-,esophagus mucosa,esophagus mucosa,esophageal mucosa,esophageal mucosa
patient-derived_pleaural_effusion,A,-,-,-,-,pleural effusion,pleural effusion,pleural cavity,pleural cavity
Fetal_Adrenal_Gland,A,-,-,glandular secretory epithelial cell,-,adrenal gland,adrenal gland,adrenal gland,adrenal gland
tibial_artery,A,-,-,-,-,tibial artery,tibial artery,-,tibialis anterior
SkeletalMuscle,A,-,-,cell of skeletal muscle,-,skeletal muscle tissue,skeletal muscle tissue,skeletal muscle,skeletal muscle
Brain_Substantia_nigra,A,-,-,neuron of the substantia nigra,-,substantia nigra,substantia nigra pars reticulata,substantia nigra,substantia nigra
Bladder,A,-,-,bladder cell,-,urinary bladder,urinary bladder,bladder,bladder
pancreas_37y,A,-,-,-,-,pancreas,pancreas,pancreas,pancreas
BI_Brain_Anterior_Caudate,A,-,-,neural cell,-,caudate nucleus,caudate nucleus,caudate nucleus,caudate nucleus
Skeletal_muscle,A,-,-,cell of skeletal muscle,-,skeletal muscle tissue,skeletal muscle tissue,skeletal muscle,skeletal muscle
adrenal gland_37y,A,-,-,glandular secretory epithelial cell,-,adrenal gland,adrenal gland,adrenal gland,adrenal gland
Fetal_Intestine_Large,A,-,-,epithelial cell of large intestine,-,large intestine,large intestine,large intestine,large intestine
spleen 34y,A,-,-,-,-,spleen,spleen,spleen,spleen
Pancreas,A,-,-,-,-,pancreas,pancreas,pancreas,pancreas
colon,A,-,-,colon epithelial cell,-,colon,large intestine,colon,large intestine
optic nerve donor1,A,-,-,neural cell,-,root of optic nerve,root of optic nerve,optic nerve,optic nerve
CytoTrophob_3,A,-,-,stem cell,-,cytotrophoblast,placenta,cytotrophoblast,chorionic epithelium
fetal heart_PCW17_12570,A,-,-,cardiocyte,-,heart,heart,heart,heart
insula adult pool1,A,-,-,-,-,insula,insula,insular cortex,insular cortex
Fetal_eye,A,-,-,-,-,eye,eye primordium,eye,fetus
Aorta,A,-,-,-,-,aorta,aorta,aorta,aorta
prostate adult pool1,A,-,-,-,-,prostate gland,prostate gland,prostate gland,prostate gland
UCSD_Small_Intestine,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
cerebral meninges adult,A,-,-,neural cell,-,forebrain meninges,forebrain meninges,-,-
Fetal_Intestine_Small,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
pancreas_54y,A,-,-,-,-,pancreas,pancreas,pancreas,pancreas
stomach_3y,A,-,-,-,-,stomach,stomach,stomach,stomach
Pituitary,A,-,-,endocrine cell,-,pituitary gland,pituitary gland,-,pituitary gland cell line
transverse colon,A,-,-,-,-,transverse colon,transverse colon,colon transversum,colon transversum
Brain Cingulate Gyrus,A,-,-,neural cell,-,cingulate gyrus,cingulate gyrus,cingulate gyrus,cingulate gyrus
endometrium,A,-,-,epithelial cell of uterus,-,endometrium,endometrium,uterine endometrium,uterine endometrium
limb,A,-,-,-,-,limb,musculature of limb,limb,limb
