Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
Crypt2,A,-,mouse immortal cell line cell,colon epithelial cell,granule cell,crypt of Lieberkuhn of colon,brain,-,breast cancer cell
muscle-of-leg,A,-,-,striated muscle cell,-,muscle of leg,hindlimb zeugopod,leg muscle,
lung right lower lobe adult donor1,A,-,cell line cell culturing,epithelial cell of lung,-,lower lobe of right lung,lower lobe of right lung,-,adult
left ventricle_DCM_LV1009,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
Brain Germinal Matrix,A,-,-,neural cell,-,brain,brain,brain,brain
paracentral gyrus adult pool1,A,-,-,neural cell,-,paracentral gyrus,paracentral gyrus,paracentral lobule,adult
body-of-pancreas,A,-,-,epithelial cell of pancreas,-,body of pancreas,body of pancreas,pancreas,pancreas
Esophagus,A,-,-,epithelial cell of esophagus,-,esophagus,esophagus,esophagus,esophagus
Fetal intestine large,A,-,-,epithelial cell of large intestine,-,large intestine,large intestine,large intestine,large intestine
ovary adult pool1,A,-,-,-,-,ovary,ovary,ovary,ovary
Brain_Substantia_Nigra,A,-,-,neuron of the substantia nigra,-,substantia nigra,brain,substantia nigra,brain
Whole blood (ribopure) donor090612 donation2,A,-,-,hematopoietic cell,-,blood,blood,blood,blood
retina,A,-,-,retinal cell,-,retina,retina,retina,retina
Brain_Putamen_basal_ganglia,A,-,-,neural cell,-,basal ganglion,putamen,-,caudate putamen
muscle_of_leg,A,-,-,striated muscle cell,-,muscle of leg,hindlimb zeugopod,leg,leg
Fetal_Kidney,A,-,cell line cell culturing,kidney cell,-,kidney,kidney,kidney,kidney
hippocampus - adult donor10196,A,-,-,neural cell,-,brain,,hippocampus,hippocampus
colon fetal donor1,A,-,-,colon epithelial cell,-,colon,colon,colon,colon
Arteries_C,A,-,-,-,-,artery,artery,artery,-
left ventricle 3y,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
spleen,A,-,-,-,-,spleen,spleen,spleen,spleen
Caudate_nucleus,A,-,-,neural cell,-,caudate nucleus,neural nucleus,caudate nucleus,-
Esophagus Squamous Epithelium,A,-,-,squamous epithelial cell,-,esophagus squamous epithelium,esophagus squamous epithelium,esophageal squamous epithelium,esophageal squamous epithelium
Fetal_Muscle_Trunk,A,-,-,muscle cell,-,skeletal muscle of trunk,skeletal muscle of trunk,muscle,muscle
Skin_Sun_Exposed_Lower_leg,A,-,-,epithelial cell,-,skin epidermis,skin epidermis,skin,skin
epididymis adult,A,-,-,duct epithelial cell,-,epididymis,epididymis,epididymis,epididymis
left ventricle_DCM_LV1433,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,
Fetal liver,A,-,-,hepatocyte,-,liver,liver,liver,liver
retina adult pool1,A,-,retina,retinal cell,-,retina,retina,retina,adult
Fetal Brain Male,A,-,-,neural cell,-,brain,brain,brain,brain
VentricleRight,A,-,cell line cell,cardiocyte,obsolete immortal cell line cell,heart right ventricle,sense organ,right ventricle,-
Kidney_cortex,A,-,-,kidney cell,-,cortex of kidney,cortex of kidney,renal cortex,
Hilar lymph node,A,-,-,-,-,lymph node,bronchopulmonary lymph node,lymph node,lymph node
liver,A,-,-,hepatocyte,-,liver,liver,liver,liver
spleen adult pool1,A,-,-,-,-,spleen,spleen,spleen,spleen
Vagina,A,-,-,vagina squamous cell,-,vagina,vagina,vagina,vagina
gastrocnemius medialis_54y,A,-,-,muscle cell,-,gastrocnemius medialis,gastrocnemius medialis,gastrocnemius,gastrocnemius
Rectal Mucosa Donor 31,A,-,-,epithelial cell of large intestine,-,mucosa of rectum,mucosa of rectum,mucosa,mucosa
coronary_artery,A,-,-,-,-,coronary artery,coronary artery,coronary artery,coronary artery
Fetal Intestine,A,-,-,intestinal epithelial cell,-,intestine,intestine,intestine,intestine
Intestine_Unknown.8_intestine,A,-,-,intestinal epithelial cell,-,intestine,intestine,intestine,intestine
Fetal Stomach,A,-,-,-,-,stomach,stomach,stomach,stomach
pancreatic-islets-F,A,-,mixed adherent and suspension cell line culturing,pancreatic endocrine cell,macrophage,islet of Langerhans,intermediate acoustic stria,pancreatic islet,bladder
duodenum fetal donor1 tech_rep2,A,-,-,epithelial cell of small intestine,-,duodenum,duodenum,duodenum,duodenum
Fetal_heart,A,-,-,cardiocyte,-,heart,heart,heart,heart
BA40_brodmann_area_40,A,-,cell line cell culturing,neural cell,cell,Brodmann (1909) area 40,supramarginal gyrus,-,-
Colon smooth muscle,A,-,-,smooth muscle cell of colon,-,large intestine smooth muscle,colon,colon,colon
UCSD_Right_Atrium,A,-,-,cardiocyte,-,right cardiac atrium,right cardiac atrium,right atrium,right atrium
thymus,A,-,-,epithelial cell of thymus,-,thymus,thymus,thymus,thymus
parietal lobe fetal donor1,A,-,-,neural cell,-,parietal lobe,parietal lobe,parietal lobe,parietal lobe
heart adult diseased post-infarction donor1,A,-,-,cardiocyte,-,heart,heart,-,adult
left ventricle_LV1558,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
kidney-cortex,A,-,-,kidney cell,-,cortex of kidney,cortex of kidney,renal cortex,kidney
left_ventricle,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,-
Lateral temporal lobe_6T_AD,A,-,-,neural cell,-,temporal lobe,temporal lobe,temporal lobe,temporal lobe
Whole blood (ribopure) donor090612 donation1,A,-,-,hematopoietic cell,-,blood,blood,blood,blood
testis adult pool2,A,-,testis,-,-,testis,testis,testis,adult
Pancreas_Unknown.1_pancreas,A,-,-,-,-,pancreas,pancreas,pancreas,
embryonic heart_CS22,A,-,-,-,-,heart,heart,heart,heart
psoas muscle,A,-,-,striated muscle cell,-,psoas muscle,psoas muscle,psoas,psoas
Placenta_Amnion,A,-,-,-,-,placenta,amnion,placenta,placenta
BA40,A,-,-,neural cell,-,Brodmann (1909) area 40,supramarginal gyrus,-,-
Stomach Smooth Muscle,A,-,-,smooth muscle cell,-,stomach smooth muscle,stomach smooth muscle,stomach smooth muscle,stomach smooth muscle
caudate nucleus - adult donor10196,A,-,-,neural cell,-,caudate nucleus,caudate nucleus,caudate nucleus,caudate nucleus
adrenal gland 54y,A,-,-,glandular secretory epithelial cell,-,adrenal gland,adrenal gland,adrenal gland,adrenal gland
left ventricle_DCM_LV1262,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,
Uterus,A,-,-,epithelial cell of uterus,-,uterus,uterus,uterus,uterus
left ventricle_LV1215,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
submaxillary gland adult,A,-,-,secretory cell,-,submandibular gland,submandibular gland,submandibular gland,submandibular gland
medulla oblongata adult pool1,A,-,-,neural cell,-,medulla oblongata,medulla oblongata,medulla oblongata,medulla oblongata
left ventricle_DCM_LV1072,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
blood vessels,A,-,-,endothelial cell,-,blood vessel,blood vessel,blood vessel,blood vessel
hN34_organoid,A,-,immortal plasma cell line cell,epithelial cell of pancreas,granule cell,pancreas,vas deferens,-,pileus
small_intestine_1,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
Rectal_Mucosa.Donor_31,A,-,-,epithelial cell of large intestine,-,mucosa of rectum,mucosa of rectum,mucosa,mucosa
spinal cord - adult donor10196,A,-,-,neural cell,-,spinal cord,spinal cord,spinal cord,spinal cord
Fetal intestine small,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
Brain_Germinal_Matrix,A,-,-,neural cell,-,brain,brain,brain,brain
nucleus accumbens adult pool1,A,-,-,neuron,-,nucleus accumbens,nucleus accumbens,nucleus accumbens,nucleus accumbens
fetal-kidney-16w,A,-,-,kidney cell,-,kidney,kidney,kidney,kidney
left ventricle_LV1294,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
breast_epithelium,A,-,-,mammary gland epithelial cell,-,breast epithelium,breast epithelium,breast epithelium,breast epithelium
locus coeruleus - adult donor10196,A,-,-,-,-,locus ceruleus,locus ceruleus,locus ceruleus,locus ceruleus
body_of_pancreas,A,-,-,epithelial cell of pancreas,-,body of pancreas,body of pancreas,pancreas,pancreas
Crypt5,A,-,immortal zebra fish cell line cell,colon epithelial cell,neural crest derived fibroblast,crypt of Lieberkuhn of colon,tissue,-,head muscle
Brain Anterior Caudate,A,-,-,neural cell,-,caudate nucleus,brain,caudate nucleus,brain
cartilage,A,-,cell line cell culturing,chondrocyte,-,cartilage tissue,cartilage tissue,cartilage,cartilage
pancreas 30y,A,-,-,-,-,pancreas,pancreas,pancreas,pancreas
Fetal_spinal_cord,A,-,cell line co-expression,-,basket cell,spinal cord,brain,spinal cord,-
left ventricle_DCM_LV1300,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
pleural-effusion,A,-,immortal muscle precursor cell line cell,-,-,pleural effusion,wing,pleural fluid,-
Fetal_intestine,A,-,-,intestinal epithelial cell,-,intestine,intestine,intestine,intestine
esophagus-muscularis-mucosa,A,-,-,smooth muscle cell of the esophagus,-,esophagus muscularis mucosa,esophagus muscularis mucosa,esophagus,esophagus
Brain,A,-,-,neural cell,-,brain,brain,brain,brain
Fetal_small_intestine,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
Fetal Muscle Trunk,A,-,-,muscle cell,-,skeletal muscle of trunk,skeletal muscle of trunk,trunk,trunk
UCSD_Aorta,A,-,-,-,-,aorta,aorta,aorta,aorta
Lateral temporal lobe_15T_Young,A,-,-,neural cell,-,temporal lobe,temporal lobe,temporal lobe,temporal lobe
Stomach_Mucosa,A,-,-,mucous cell of stomach,-,mucosa of stomach,mucosa of stomach,mucosa,mucosa
aorta adult pool1,A,-,-,-,-,aorta,aorta,aorta,aorta
BA10,A,-,-,neural cell,-,brain,Brodmann (1909) area 10,-,-
Kidney_Unknown.14_kidney,A,-,-,kidney cell,-,kidney,kidney,kidney,kidney
Fetal_Spinal_Cord,A,-,cell line cell,-,obsolete immortal cell line cell,spinal cord,forelimb wing,spinal cord,-
parietal lobe adult donor10252,A,-,-,neural cell,-,parietal lobe,parietal lobe,parietal lobe,parietal lobe
Brain Hippocampus Middle 150,A,-,-,neural cell,-,hippocampal formation,hippocampal formation,hippocampus,hippocampus
Crypt3,A,-,cell line cell,colon epithelial cell,obsolete immortal cell line cell,crypt of Lieberkuhn of colon,naris,-,"culture condition:2,5-dihydroxybenzoate-grown cell"
Left_Ventricle,A,-,cell line cell culturing,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,-
thymus_2,A,-,-,epithelial cell of thymus,-,thymus,thymus,thymus,thymus
Duodenum_Smooth_Muscle,A,-,-,smooth muscle fiber of duodenum,-,muscle layer of duodenum,muscle layer of duodenum,duodenum,duodenum
Testis,A,-,-,-,-,testis,testis,testis,
somite,A,-,-,-,-,somite,somite,somite,
Circle of Willis_60y,A,-,-,-,-,circle of Willis,circle of Willis,-,-
subcutaneous_adipose_tissue,A,-,-,adipocyte,-,subcutaneous adipose tissue,subcutaneous adipose tissue,subcutaneous adipose tissue,subcutaneous adipose tissue
Adrenal Gland,A,-,-,glandular secretory epithelial cell,-,adrenal gland,adrenal gland,adrenal gland,adrenal gland
Duodenum Mucosa,A,-,-,duodenum secretory cell,-,duodenal mucosa,duodenal mucosa,duodenal mucosa,duodenal mucosa
Transverse Colon,A,-,-,-,-,transverse colon,transverse colon,colon transversum,colon transversum
brain adult pool1,A,-,brain,neural cell,-,brain,brain,brain,adult
kidney fetal pool1,A,-,-,kidney cell,-,kidney,kidney,kidney,kidney
germinal matrix,A,-,cell line cell culturing,neural cell,cell,brain,matrix compartment,-,-
heart_left_ventricle,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,-
leg_muscle,A,-,-,striated muscle cell,-,muscle of leg,leg,leg muscle,leg muscle
Thymus,A,-,-,epithelial cell of thymus,-,thymus,thymus,thymus,thymus
Esophagus_Mucosa,A,-,-,epithelial cell of esophagus,-,esophagus mucosa,esophagus mucosa,esophageal mucosa,esophageal mucosa
patient-derived_pleaural_effusion,A,-,cell culture growth mode,-,-,pleural effusion,anatomical wall,-,-
Fetal_Adrenal_Gland,A,-,-,glandular secretory epithelial cell,-,adrenal gland,adrenal gland,adrenal gland,adrenal gland
tibial_artery,A,-,-,-,-,tibial artery,tibial artery,artery,artery
SkeletalMuscle,A,-,immortal multi fate stem cell line cell,cell of skeletal muscle,epithelial cell,skeletal muscle tissue,skin epidermis,skeletal muscle,zona fasciculata
Brain_Substantia_nigra,A,-,-,neuron of the substantia nigra,-,substantia nigra,brain,substantia nigra,brain
Bladder,A,-,-,bladder cell,-,urinary bladder,urinary bladder,bladder,bladder
pancreas_37y,A,-,-,-,-,pancreas,pancreas,pancreas,pancreas
BI_Brain_Anterior_Caudate,A,-,-,neural cell,-,caudate nucleus,brain,caudate nucleus,brain
Skeletal_muscle,A,-,-,cell of skeletal muscle,-,skeletal muscle tissue,skeletal muscle tissue,skeletal muscle,skeletal muscle
adrenal gland_37y,A,-,-,glandular secretory epithelial cell,-,adrenal gland,adrenal gland,adrenal gland,adrenal gland
Fetal_Intestine_Large,A,-,-,epithelial cell of large intestine,-,large intestine,large intestine,large intestine,large intestine
spleen 34y,A,-,-,-,-,spleen,spleen,spleen,spleen
Pancreas,A,-,-,-,-,pancreas,pancreas,pancreas,pancreas
colon,A,-,-,colon epithelial cell,-,colon,colon,colon,colon
optic nerve donor1,A,-,-,neural cell,-,root of optic nerve,cranial nerve II,optic nerve,optic nerve
CytoTrophob_3,A,-,immortal osteoblast cell line cell,stem cell,granule cell,cytotrophoblast,vas deferens,cytotrophoblast,"culture condition:1,4-dichlorobenzene-grown cell"
fetal heart_PCW17_12570,A,-,-,cardiocyte,-,heart,heart,heart,heart
insula adult pool1,A,-,-,-,-,insula,insula,-,insular cortex
Fetal_eye,A,-,-,-,-,eye,eye,eye,eye
Aorta,A,-,-,-,-,aorta,aorta,aorta,aorta
prostate adult pool1,A,-,-,-,-,prostate gland,prostate gland,prostate gland,prostate gland
UCSD_Small_Intestine,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
cerebral meninges adult,A,-,-,neural cell,-,forebrain meninges,meningeal cluster,-,meninx
Fetal_Intestine_Small,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
pancreas_54y,A,-,-,-,-,pancreas,pancreas,pancreas,pancreas
stomach_3y,A,-,-,-,-,stomach,stomach,stomach,stomach
Pituitary,A,-,-,endocrine cell,-,pituitary gland,pituitary gland,-,hypophysis
transverse colon,A,-,-,-,-,transverse colon,transverse colon,colon transversum,colon transversum
Brain Cingulate Gyrus,A,-,-,neural cell,-,cingulate gyrus,cingulate gyrus,cingulate gyrus,cingulate gyrus
endometrium,A,-,-,epithelial cell of uterus,-,endometrium,endometrium,uterine endometrium,uterine endometrium
limb,A,-,-,-,-,limb,limb,limb,limb
Brain hippocampus middle,A,-,-,neural cell,-,hippocampal formation,hippocampal formation,hippocampus,hippocampus
UCSD_Ovary,A,-,-,-,-,ovary,ovary,ovary,ovary
Skeletal_Muscle_Male,A,-,cell line cell culturing,cell of skeletal muscle,-,skeletal muscle tissue,male organism,muscle,muscle
psoas-muscle_3y,A,-,-,striated muscle cell,-,psoas muscle,psoas muscle,psoas,psoas
Artery_Tibial,A,-,-,-,-,tibial artery,tibial artery,artery,artery
Fetal_stomach,A,-,-,-,-,stomach,stomach,stomach,stomach
Brain_Inferior_Temporal_Lobe,A,-,-,neural cell,-,inferior temporal gyrus,brain,inferior temporal gyrus,brain
small_intestine_2,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
Unknown.6_eye,A,-,-,-,-,eye,eyeball of camera-type eye,eye,eye
thalamus adult donor10252,A,-,-,neural cell,-,,dorsal plus ventral thalamus,thalamus,thalamus
Brain_Cingulate_Gyrus,A,-,-,neural cell,-,cingulate gyrus,brain,cingulate gyrus,cerebral gyrus
appendix adult,A,-,-,epithelial cell of appendix,-,vermiform appendix,vermiform appendix,vermiform appendix,vermiform appendix
Lateral temporal lobe_17T_Young,A,-,-,neural cell,-,temporal lobe,temporal lobe,temporal lobe,temporal lobe
colon adult donor1,A,-,colon,colon epithelial cell,-,colon,colon,colon,adult
small intestine_2,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
