Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
HS-SY-2Monophasic_synovial_sarcoma,CL,CLO_0050072,CLO_0050844,CL_0000214,CL_0000353,UBERON_0003668,UBERON_0003672,BTO_0006086,BTO_0000118
22Rv1_delSite4_Clone22/23-F8,CL,CLO_0001200,CLO_0002531,CL_0002231,CL_0009015,UBERON_0002367,UBERON_0000474,BTO_0002999,BTO_0000591
lymphoma malignant hairy B-cell cell line:MLMA,CL,-,CLO_0051541,CL_0000236,CL_0000841,UBERON_0000178,UBERON_0000403,-,BTO_0003851
Glioblastoma neurosphere cell_HF-3035,CT,-,CLO_0030736,CL_0000125,CL_0000236,UBERON_0001017,UBERON_0016567,BTO_0001530,BTO_0000958
lncaparmo-ar-dht1nm,CL,CLO_0007365,CLO_0002375,CL_0002231,CL_0000600,UBERON_0002367,UBERON_0001981,BTO_0001321,BTO_0000489
Loucy,CL,CLO_0007375,CLO_0009327,CL_0000084,CL_0000057,UBERON_0000178,UBERON_0000468,-,BTO_0000850
Crypt2,A,-,CLO_0007886,CL_0011108,CL_0009015,UBERON_0013485,UBERON_0001194,-,BTO_0001848
TE7_1,CL,CLO_0009319, ,CL_0000076,,UBERON_0001043,,-,BTO:0003712
A-673-clone-Asp114,CL,CLO_0001605,CLO_0007760,CL_0000187,CL_0000000,UBERON_0005090,UBERON_0000000,BTO_0003768,BTO_0000227
Stromal_heart_2,CT,-,CLO_0050867,CL_0000499,CL_0002553,UBERON_0000948,UBERON_0000948,-,BTO_0001249
foreskin-keratinocyte-calcium5.5day,CT,-,CLO_0003684,CL_1001606,CL_0000312,UBERON_0001332,UBERON_0002366,BTO_0005481,BTO:0001199
small cell gastrointestinal carcinoma cell line:ECC10,CL,CLO_0050796,CLO_0008003,CL_0002178,CL_0002324,UBERON_0000945,UBERON_0001907,-,BTO_0006315
PAEP_MECOM_pos_placenta,CT,-,CLO_0051855,-,CL_0000746,UBERON_0001987,UBERON_0001987,-,BTO_0001255
H1 hESC-derived neural progenitor cells_Smad_6hr,CL,-,CLO_0030008,CL_0011020,CL_0002248,UBERON_0000922,UBERON_000001,-,BTO_0002850
HUCCT1,CL,CLO_0050009,CLO_0003297,CL_0000068,CL_0000000,UBERON_0002394,UBERON_0000000,BTO_0003911,BTO_0002185
VCaP_prostate_carcinoma_SH3_DHT,CL,CLO_0037117,CLO_0009273,CL_0002231,CL_0002618,UBERON_0002367,UBERON_0002367,BTO_0003215,BTO_0003043
A-673_clone_Asp114_Ewing_sarcoma,CL,CLO_0001605,CLO_0050857,CL_0000187,CL_0000000,UBERON_0005090,UBERON_0000000,BTO_0003768,BTO_0000958
hMSC-TERT,CL,-,CLO_0000184,CL_0000134,CL_0000034,UBERON_0002371,UBERON_0001067,-,BTO_0001181
LNCaP_prostate_carcinoma_ETOH_SHCTR,CL,CLO_0007365,CLO_0007771,CL_0002231,CL_0000182,UBERON_0002367,UBERON_0002367,BTO_0001321,BTO_0000784
GMP_Frozen_BM1077,CT,-,CLO_0033905,CL_0000557,CL_0000236,UBERON_0002371,UBERON_0035747,-,BTO_0000759
FLP76_embryonic_kidney,CL,-,CLO_0050831,CL_1000497,CL_0002594,UBERON_0002113,UBERON_0002011,-,BTO_0001261
HEK293T,CL,CLO_0037372,CLO_0050844,CL_0002518,CL_0000182,UBERON_0002113,UBERON_0000468,BTO_0002181,BTO_0002537
GM15510,CL,CLO_0028068,CLO_0003937,CL_0000236,CL_0000000,UBERON_0000178,UBERON_0000000,-,BTO_0002855
Chondrocyte - re diff donor2,CT,-,CLO_0037291,CL_0000138,CL_0000138,UBERON_0002418,UBERON_0001992,BTO_0000249,BTO_0001102
HeLaS3,CL,CLO_0003696,CLO_0002052,CL_0002535,CL_0000000,UBERON_0000002,UBERON_0000000,BTO_0000568,BTO_0000242
mesothelioma cell line:NCI-H28,CL,CLO_0008079,CLO_0002979,CL_0000082,CL_0000000,UBERON_0002048,UBERON_0000000,-,BTO_0001917
H9 derived neuronal progenitor cultured cells,CL,-,CLO_0003129,CL_0011020,CL_0000057,UBERON_0001016,UBERON_0001032,-,BTO_0003679
HeLa-S3_Cervical_Carcinoma,CL,CLO_0003696,CLO_1008414,CL_0002535,CL_0002328,UBERON_0000002,UBERON_0000002,BTO_0000568,BTO_0001903
muscle-of-leg,A,-,CLO_0000180,CL_0000737,CL_0000737,UBERON_0001383,UBERON_0001388,BTO_0000722,BTO_0001489
iPS DF 19.11 Cells,CL,CLO_0037308,CLO_0037293,CL_0002248,CL_0001039,-,UBERON_0000922,-,BTO_0003245
lung right lower lobe adult donor1,A,-,CLO_0050492,CL_0000082,CL_0000404,UBERON_0002171,UBERON_0008951,-,BTO_0000343
GBM07,CT,CLO_0003456,CLO_0007640,CL_0000125,CL_0000000,UBERON_0000955,UBERON_0000000,-,BTO_0002099
A549_ethanol_1h,CL,CLO_0001601,CLO_0006871,CL_0000082,CL_0000000,UBERON_0002048,UBERON_0000000,BTO_0000018,BTO_0000014
MPAL1_T2_4,CT,-,CLO:0007571,CL_0000988,CL:0000542,UBERON_0000178,UBERON:0000945,-,BTO:0000562
Myeloid_liver_0,CT,-,CLO_0050846,CL_0000763,CL_0000763,UBERON_0002107,UBERON_0002107,BTO_0000906,BTO_0000759
BJ/ET,CL,CLO_0001980,CLO_0002490,CL_1001608,CL_0000057,UBERON_0001332,UBERON_0000483,BTO_0003807,BTO_0004308
750T,CT,-,CLO_0002154,CL_1000497,CL_0000000,UBERON_0002113,UBERON_0000000,-,BTO_0000989
left ventricle_DCM_LV1009,A,-,CLO_0009318,CL_0002494,CL_0000740,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0000652
CluB_D,CT,-,CLO_0009103,CL_0000158,CL_0000057,UBERON_0002048,UBERON_0006316,-,BTO_0002869
A549 DMSO,CL,CLO_0001601,CLO_0000011,CL_0000082,CL_0000000,UBERON_0002048,UBERON_0000000,BTO_0000018,BTO_0000000
Astro_Oligodendro_cerebrum_2,CT,-,CLO_0000577,CL_0000125,CL_0000127,UBERON_0000955,UBERON_0000955,-,BTO_0005078
IMR90_lung_fibroblasts_DMSO,CL,CLO_0006951,CLO_0002604,CL_0002553,CL_0000057,UBERON_0002048,UBERON_0002048,BTO_0001229,BTO_0000220
HCT116 TP53-/-_Nutlin3A,CL,CLO_0003665,CLO_0007705,CL_0011108,CL_0000057,UBERON_0001155,UBERON_0034922,BTO_0001109,BTO_0003660
GM18507,CL,CLO_0024916,CLO_0000752,CL_0000236,CL_0000057,UBERON_0000178,UBERON_0000468,-,BTO_0000068
HUVECs_TNF0min,CL,CLO_0004307,CLO_0002616,CL_0002618,CL_0002618,UBERON_0002331,UBERON_0000178,BTO_0001949,BTO_0000014
NB69,CL,CLO_0050263,CLO_0007798,CL_0000031,CL_0000000,UBERON_0000955,UBERON_0000000,BTO_0005426,BTO_0005417
Brain Germinal Matrix,A,-,CLO_0006965,CL_0002319,CL_0011008,UBERON_0000955,UBERON_0018681,-,BTO_0000224
Macrophages_GM-CSF_72h,CT,-,CLO_0000611,CL_0000235,CL_0000235,UBERON_0000178,UBERON_0000468,BTO_0000801,BTO:0000759
PATU8988S_GFP_DOX,CL,CLO_0008383,CLO_0000217,CL_0000083,CL_0000000,UBERON_0001264,UBERON_0000000,BTO_0005191,BTO_0002545
paracentral gyrus adult pool1,A,-,CLO_0001053,CL_0002319,CL_0000057,UBERON_0007190,UBERON_0002730,BTO_0005601,BTO_0000330
COLO320-DM_DMSO,CL,CLO_0002571,CLO_0050990,CL_0011108,CL_0000000,UBERON_0001155,UBERON_0000000,BTO_0002047,BTO_0000092
Th2,CT,-,CLO_0050807,CL_0000546,CL_0000813,UBERON_0002405,UBERON_0000000,BTO_0001679,BTO_0000000
Glioblastoma neurosphere cell_HF-3016,CT,-,CLO_0050854,CL_0000125,CL_0000000,UBERON_0001017,UBERON_0000956,BTO_0001530,BTO_0001486
NHEK-Epidermal_Keratinocytes,CT,-,CLO_0050846,CL_0000312,CL_0000765,UBERON_0001003,UBERON_0001990,BTO_0003182,BTO_0000311
Ik6pre-BALL+TET-emptyvector,CT,-,CLO_0032549,CL_0000988,CL_0002321,UBERON_0000178,UBERON_0000453,-,BTO_0002893
gm12891,CL,CLO_0022859,CLO_0003670,CL_0000236,CL_0000000,UBERON_0000178,UBERON_0000000,-,BTO_0000184
293Trex_B4Nflag_7h,CL,CLO_0037238,CLO_0051433,CL_0002518,CL_0000182,UBERON_0002113,UBERON_0000483,BTO_0005238,BTO_0000232
NH-A astrocyte,CT,-,CLO_0050831,CL_0000127,CL_0000127,UBERON_0001017,UBERON_0000955,BTO_0000099,BTO_0000502
