Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
HS-SY-2Monophasic_synovial_sarcoma,CL,CLO_0050072,-,CL_0000214,CL_0000057,UBERON_0003668,UBERON_0002481,BTO_0006086,-
lymphoma malignant hairy B-cell cell line:MLMA,CL,-,-,CL_0000236,CL_0000878,UBERON_0000178,UBERON_0000178,-,BTO_0003255
Glioblastoma neurosphere cell_HF-3035,CT,-,-,CL_0000125,CL_0000125,UBERON_0001017,UBERON_0001017,BTO_0001530,BTO_0002571
Loucy,CL,CLO_0007375,CLO_0007157,CL_0000084,CL_0000236,UBERON_0000178,UBERON_0000178,-,-
Crypt2,A,-,-,CL_0011108,CL_0002565,UBERON_0013485,UBERON_0001043,-,-
TE7_1,CL,CLO_0009319,-,CL_0000076,CL_0000076,UBERON_0001043,UBERON_0001043,-,-
A-673-clone-Asp114,CL,CLO_0001605,CLO_0001600,CL_0000187,CL_0000187,UBERON_0005090,UBERON_0005090,BTO_0003768,-
Stromal_heart_2,CT,-,-,CL_0000499,CL_0000499,UBERON_0000948,UBERON_0000948,-,-
foreskin-keratinocyte-calcium5.5day,CT,-,-,CL_1001606,CL_1001606,UBERON_0001332,UBERON_0001332,BTO_0005481,-
small cell gastrointestinal carcinoma cell line:ECC10,CL,CLO_0050796,CLO_0050845,CL_0002178,CL_0002254,UBERON_0000945,UBERON_0001043,-,-
PAEP_MECOM_pos_placenta,CT,-,-,-,CL_0000037,UBERON_0001987,UBERON_0001987,-,BTO_0005348
H1 hESC-derived neural progenitor cells_Smad_6hr,CL,-,-,CL_0011020,CL_0011020,UBERON_0000922,UBERON_0000922,-,-
HUCCT1,CL,CLO_0050009,-,CL_0000068,CL_0002503,UBERON_0002394,UBERON_0002107,BTO_0003911,-
VCaP_prostate_carcinoma_SH3_DHT,CL,CLO_0037117,CLO_0037117,CL_0002231,CL_0002231,UBERON_0002367,UBERON_0002367,BTO_0003215,BTO_0003215
