Label,sample_type,CLO_C,CLO_4o,CL_C,CL_4o,UBERON_C,UBERON_4o,BTO_C,BTO_4o,UBERON_t2t,BTO_t2t,CLO_t2t,CL_t2t
Crypt2,A,-,CLO_0007886,CL_0011108,CL_0009015,UBERON_0013485,UBERON_0001194,-,BTO_0001848,UBERON_0035243,BTO_0000305,-,-
muscle-of-leg,A,-,CLO_0000180,CL_0000737,CL_0000737,UBERON_0001383,UBERON_0001388,BTO_0000722,BTO_0001489,UBERON_0001383,BTO_0000722,-,-
lung right lower lobe adult donor1,A,-,CLO_0050492,CL_0000082,CL_0000404,UBERON_0002171,UBERON_0008951,-,BTO_0000343,UBERON_0002171,BTO_0000763,-,-
left ventricle_DCM_LV1009,A,-,CLO_0009318,CL_0002494,CL_0000740,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0000652,UBERON_0002084,BTO_0001629,-,-
Brain Germinal Matrix,A,-,CLO_0006965,CL_0002319,CL_0011008,UBERON_0000955,UBERON_0018681,-,BTO_0000224,UBERON_0002283,BTO_0003671,-,-
paracentral gyrus adult pool1,A,-,CLO_0001053,CL_0002319,CL_0000057,UBERON_0007190,UBERON_0002730,BTO_0005601,BTO_0000330,UBERON_0007190,BTO_0005603,-,-
body-of-pancreas,A,-,-,CL_0000083,-,UBERON_0001150,UBERON_0013682,-,BTO_0001863,UBERON_0001150,BTO_0000988,-,-
Esophagus,A,-,CLO_0005017,CL_0002252,CL_0002728,UBERON_0001043,UBERON_0001043,BTO_0000959,BTO_0000502,UBERON_0001043,BTO_0000959,-,-
Fetal intestine large,A,-,CLO_0003203,CL_0002253,CL_0002633,UBERON_0000059,UBERON_0002108,BTO_0000706,BTO_0005154,UBERON_0000059,BTO_0000706,-,-
ovary adult pool1,A,-,CLO_0007752,-,CL_0000008,UBERON_0000992,UBERON_0000992,BTO_0000975,BTO_0000140,UBERON_0000992,BTO_0000975,-,-
Brain_Substantia_Nigra,A,-,CLO_0050853,CL_0002614,CL_0000187,UBERON_0002038,UBERON_0002037,BTO_0000143,BTO_0000756,UBERON_0002038,BTO_0000143,-,-
Whole blood (ribopure) donor090612 donation2,A,-,CLO_0031131,CL_0000988,CL_0000236,UBERON_0000178,UBERON_0013756,-,BTO_0000203,GO_0008217,BTO_0000089,-,-
retina,A,-,-,CL_0009004,CL_0000574,UBERON_0000966,UBERON_0000966,BTO_0001175,BTO_0005052,UBERON_0000966,BTO_0001175,-,-
Brain_Putamen_basal_ganglia,A,-,-,CL_0002319,CL_0002105,UBERON_0002420,UBERON_0001872,-,BTO_0001289,UBERON_0010011,BTO_0000235,-,-
muscle_of_leg,A,-,CLO_0051857,CL_0000737,CL_0000746,UBERON_0001383,UBERON_0003618,-,BTO_0001379,UBERON_0001383,BTO_0000722,-,-
Fetal_Kidney,A,-,CLO_0050850,CL_1000497,CL_1000488,UBERON_0002113,UBERON_0002978,BTO_0000671,BTO_0000654,UBERON_0002113,BTO_0000671,-,-
hippocampus - adult donor10196,A,-,CLO_0000211,CL_0002319,CL_0000700,UBERON_0000955,UBERON_0001950,BTO_0000601,BTO_0000966,UBERON_0035970,BTO_0000601,-,-
colon fetal donor1,A,-,CLO_0051539,CL_0011108,CL_0009029,UBERON_0001155,UBERON_0001155,BTO_0000269,BTO_0001343,UBERON_0001155,BTO_0000269,-,-
Arteries_C,A,-,-,-,-,UBERON_0001637,UBERON_0001637,BTO_0000573,BTO:0000223,UBERON_0001637,BTO_0000573,-,-
left ventricle 3y,A,-,-,CL_0002494,-,UBERON_0002084,UBERON_0002084,BTO_0001629,-,UBERON_0002084,BTO_0001629,-,-
spleen,A,-,CLO_0000312,-,CL_0000492,UBERON_0002106,UBERON_0002106,BTO_0001281,BTO_0001314,UBERON_0002106,BTO_0001281,-,-
Caudate_nucleus,A,-,CLO_0000000,CL_0002319,CL_0000796,UBERON_0001873,UBERON_0001873,BTO_0000211,BTO_0000623,UBERON_0001873,BTO_0000211,-,-
Esophagus Squamous Epithelium,A,-,-,CL_0000076,CL_0002546,UBERON_0006920,UBERON_0000405,BTO_0003635,BTO_0005090,UBERON_0006920,BTO_0003635,-,-
Fetal_Muscle_Trunk,A,-,CLO_0050471,CL_0000187,CL_0002618,UBERON_0001774,UBERON_0001453,-,BTO_0000003,UBERON_0001774,BTO_0001493,-,-
Skin_Sun_Exposed_Lower_leg,A,-,-,CL_0000066,-,UBERON_0001003,UBERON_0003212,-,BTO_0000159,UBERON_0004264,BTO_0001253,-,-
epididymis adult,A,-,CLO_0000210,CL_0000068,CL_0002248,UBERON_0001301,UBERON_0001334,BTO_0000408,BTO_0001165,UBERON_0001301,BTO_0000408,-,-
left ventricle_DCM_LV1433,A,-,CLO_0031831,CL_0002494,CL_0000747,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0001352,UBERON_0002084,BTO_0001629,-,-
Fetal liver,A,-,CLO_0050847,CL_0000182,CL_0000115,UBERON_0002107,UBERON_0002104,BTO_0000759,BTO_0000741,UBERON_0002107,BTO_0000759,-,-
retina adult pool1,A,-,CLO_0035276,CL_0009004,CL_0000057,UBERON_0000966,UBERON_0000966,BTO_0001175,BTO_0003771,UBERON_0000966,BTO_0001175,-,-
Fetal Brain Male,A,-,CLO_0008910,CL_0002319,CL_0002618,UBERON_0000955,UBERON_0001884,BTO_0000142,BTO_0005073,UBERON_0000955,BTO_0000142,-,-
VentricleRight,A,-,CLO_0000484,CL_0002494,CL_0000000,UBERON_0002080,UBERON_0000947,BTO_0001630,BTO_0001336,UBERON_0002080,BTO_0001630,-,-
Kidney_cortex,A,-,CLO_0007669,CL_1000497,CL_0000670,UBERON_0001225,UBERON_0001225,BTO_0001166,BTO_0001322,UBERON_0001225,BTO_0000671,-,-
Hilar lymph node,A,-,-,-,-,UBERON_0000029,UBERON_0001465,-,BTO_0002852,UBERON_0039167,BTO_0000784,-,-
liver,A,-,-,CL_0000182,-,UBERON_0002107,UBERON_0002107,BTO_0000759,BTO_0000759,UBERON_0002107,BTO_0000759,-,-
spleen adult pool1,A,-,CLO_0050853,-,CL_0000084,UBERON_0002106,UBERON_0002106,BTO_0001281,BTO_0001489,UBERON_0002106,BTO_0001281,-,-
Vagina,A,-,CLO_0007286,CL_1001578,CL_0000000,UBERON_0000996,UBERON_0000995,-,BTO_0001278,UBERON_0000996,BTO_0000243,-,-
gastrocnemius medialis_54y,A,-,CLO_0008303,CL_0000187,CL_0000178,UBERON_0011907,UBERON_0001377,BTO_0000506,BTO_0000641,UBERON_0011907,BTO_0000506,-,-
Rectal Mucosa Donor 31,A,-,CLO_0050858,CL_0002253,CL_0000653,UBERON_0003346,UBERON_0000159,-,BTO_0004759,UBERON_0003346,BTO_0002435,-,-
coronary_artery,A,-,-,-,-,UBERON_0001621,UBERON_0001621,BTO_0000290,-,UBERON_0001621,BTO_0000290,-,-
Fetal Intestine,A,-,CLO_0055210,CL_0002563,CL_0000000,UBERON_0000160,UBERON_0002106,BTO_0000648,BTO_0001417,UBERON_0000160,BTO_0000648,-,-
Intestine_Unknown.8_intestine,A,-,CLO_0002459,CL_0002563,CL_0000003,UBERON_0000160,UBERON_0002113,BTO_0000648,BTO_0000696,UBERON_0000160,BTO_0000648,-,-
Fetal Stomach,A,-,CLO_0002552,-,CL_0002253,UBERON_0000945,UBERON_0002084,-,BTO_0000488,UBERON_0000945,BTO_0001307,-,-
