Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
ovary adult pool1,A,-,-,-,-,ovary,ovary,ovary,ovary
Fetal_Kidney,A,-,-,kidney cell,-,kidney,metanephric renal pelvis,kidney,kidney
Arteries_C,A,-,-,-,-,artery,artery,artery,artery
VentricleRight,A,-,-,cardiocyte,-,heart right ventricle,heart right ventricle,right ventricle,right ventricle
small_intestine_1,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
UCSD_Aorta,A,-,-,-,-,aorta,aorta,aorta,aorta
BA10,A,-,-,neural cell,-,brain,prefrontal cortex,prefrontal cortex,prefrontal cortex
Pancreas,A,-,-,-,-,pancreas,pancreas,pancreas,pancreas
stomach_3y,A,-,-,-,-,stomach,stomach,stomach,stomach
small_intestine_2,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
Lateral temporal lobe_17T_Young,A,-,-,neural cell,-,temporal lobe,temporal lobe,temporal lobe,temporal lobe
pancreas,A,-,-,-,-,pancreas,pancreas,pancreas,pancreas
BJ/ET,CL,BJ cell,immortal human foreskin-derived fibroblast cell line cell,foreskin fibroblast,foreskin fibroblast,prepuce of penis,prepuce of penis,BJ cell,BJ cell
PATU8988S_GFP_DOX,CL,PA-TU-8988S cell,S008888 cell,epithelial cell of pancreas,pancreatic acinar cell,pancreas,pancreas,Patu-8988 cell,Patu-8988 cell
MKN28,CL,MKN28 cell,MKN28 cell,epithelial cell of stomach,epithelial cell of stomach,stomach,stomach,MKN-28 cell,MKN-28 cell
H1 hESC-derived neural progenitor cells_Smad_72hr,CL,human embryonic stem cell line cell,human embryonic stem cell line cell,neural progenitor cell,neural progenitor cell,embryo,central nervous system,embryonic stem cell line,embryonic stem cell line
TTC549_Doxycycline,CL,-,-,-,-,liver,-,-,-
LREX,CL,-,LS 180 cell,epithelial cell of prostate,lymphangioblast,prostate gland,-,-,LX-2 cell
TSU-1621-MT_adult_acute_myeloid_leukemia_ATRA,CL,-,-,myeloid cell,myeloid cell,blood,hematopoietic tissue,-,-
TGBC2TKB,CL,THP-1 cell,-,epithelial cell,epithelial cell,gallbladder,gallbladder,-,GBC-SD cell
GICAN,CL,GI-CA-N cell,GM09947 cell,neuroblast (sensu Vertebrata),-,nervous system,-,-,-
GM23338,CL,-,-,pluripotent stem cell,B-lymphoblast,skin epidermis,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
FL8,CL,FL cell,FL cell,B cell,-,lymph node,-,FL cell,FL cell
WI-38,CL,WI-38 cell,immortal human foetal structure-derived fibroblast cell line cell,fibroblast of lung,fibroblast of lung,lung,lung,WI-38 cell,WI-38 cell
H441,CL,NCI-H441 cell,NCI-H441 cell,club cell,pulmonary alveolar type 2 cell,lung,lung,NCI-H441 cell,NCI-H441 cell
adenocarcinoma cell line:IM95m,CL,-,MSN09-4 cell,epithelial cell of stomach,epithelial cell of stomach,stomach,stomach,IM-95 cell,IM-95 cell
Y79,CL,Y79 cell,-,retinoblast,retinoblast,retina,retina,Y-79 cell,Y-79 cell
T3M4 wt,CL,RCB1021 cell,TM4 cell,epithelial cell of pancreas,epithelial cell of pancreas,pancreas,pancreas,T3M4 cell,TM-4 cell
DUCaP_prostate_carcinoma,CL,-,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,-,RAMOS-EHRB cell
gm19238,CL,GM19238 cell,GM19238 cell,B cell,B-lymphoblast,blood,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
B-CPAP,CL,B-CPAP cell,B-CPAP cell,epithelial cell of thyroid gland,epithelial cell of thyroid gland,thyroid gland,thyroid gland,B-CPAP cell,B-CPAP cell
WA01_H1_human_embryonic_stem_cells_EMB,CL,-,-,embryonic stem cell,embryonic stem cell,embryo,embryo,WA-01 cell,WA-01 cell
CRC107_colorectal_cancer_metastatic_stem_cells,CL,-,-,stem cell,stem cell,colon,colorectum,colorectal cancer cell line,colorectal cancer cell line
MT4H1,CL,MT4 cell,MT4 cell,hematopoietic cell,"activated CD4-positive, alpha-beta T cell, human",blood,hematopoietic system,MT-4 cell,MT-4 cell
MIC,CL,-,-,bone cell,-,bone tissue,vocal organ,-,larynx
NT2-D1_embryonic_carcinoma,CL,NT2-D1 cell,NT2-D1 cell,pluripotent stem cell,pluripotent stem cell,testis,testis,NT2/D1 cell,NTERA-2 cell
Human Podocyte Cell Line AB8/13,CL,-,ABE-8.1/2 cell,kidney epithelial cell,podocyte,glomerular capsule,glomerular capsule,-,13-9B cell
D341_6,CL,D341 Med cell,-,neural cell,malignant cell,cerebellum,cerebellum,-,D-283MED cell
THP1_DMSO_noPMA,CL,THP-1 cell,THP-1 cell,monocyte,monocyte,blood,blood,THP-1 cell,THP-1 cell
BG01V,CL,hES BG01V cell,-,embryonic stem cell,embryonic stem cell,embryo,inner cell mass,BG-1 cell,BG-1 cell
SUIT2_MTV,CL,SUIT-2 cell,immortal human pancreas-derived cell line cell,epithelial cell of exocrine pancreas,epithelial cell of exocrine pancreas,exocrine pancreas,exocrine pancreas,SUIT-2 cell,pancreatic ductal adenocarcinoma cell line
